Country/Region,Region,Year,CO2 Emissions,Energy Usage,GDP,Internet Usage,Mobile Phone Usage,Tourism Inbound,Tourism Outbound
Bosnia and Herzegovina,Europe,12/1/2003,23238,4400,$8B,4%,28%,$0B,$0B
Bulgaria,Europe,12/1/2003,47308,19399,$21B,12%,45%,$2B,$1B
Croatia,Europe,12/1/2003,23542,8812,$34B,23%,58%,$7B,$1B
Cyprus,Europe,12/1/2003,7748,2332,$13B,30%,55%,$2B,$1B
Czech Republic,Europe,12/1/2003,122379,44415,$95B,34%,95%,$4B,$2B
Denmark,Europe,12/1/2003,55735,20087,$213B,76%,89%,$5B,$7B
Estonia,Europe,12/1/2003,17052,5188,$10B,45%,78%,$1B,$0B
Faeroe Islands,Europe,12/1/2003,777,,$1B,59%,79%,,
Finland,Europe,12/1/2003,68888,36747,$164B,69%,91%,$3B,$3B
France,Europe,12/1/2003,387591,265879,"$1,790B",36%,69%,$46B,$33B
Germany,Europe,12/1/2003,833406,338070,"$2,420B",56%,77%,$30B,$73B
Greece,Europe,12/1/2003,95738,29141,$193B,18%,81%,$11B,$2B
Hungary,Europe,12/1/2003,59072,26136,$84B,22%,78%,$4B,$3B
Iceland,Europe,12/1/2003,2167,3273,$11B,83%,97%,$0B,$1B
Ireland,Europe,12/1/2003,43337,14061,$159B,34%,87%,$5B,$5B
Isle of Man,Europe,12/1/2003,,,$2B,,,,
Italy,Europe,12/1/2003,468349,179423,"$1,510B",29%,98%,$33B,$24B
Kosovo,Europe,12/1/2003,,1994,$3B,,,,
Latvia,Europe,12/1/2003,7088,4324,$11B,27%,53%,$0B,$0B
Liechtenstein,Europe,12/1/2003,,,$3B,59%,73%,,
Lithuania,Europe,12/1/2003,12915,9253,$19B,26%,62%,$1B,$0B
Luxembourg,Europe,12/1/2003,9905,3843,$29B,55%,121%,$3B,$2B
North Macedonia,Europe,12/1/2003,11309,2776,$5B,19%,37%,$0B,$0B
Malta,Europe,12/1/2003,2582,826,$5B,32%,70%,$1B,$0B
Moldova,Europe,12/1/2003,4290,3360,$2B,7%,12%,$0B,$0B
Monaco,Europe,12/1/2003,,,$4B,50%,46%,,
Montenegro,Europe,12/1/2003,,,$2B,,,,
Netherlands,Europe,12/1/2003,175041,78010,$538B,64%,82%,$15B,$16B
Norway,Europe,12/1/2003,42625,27020,$225B,78%,89%,$3B,$7B
Poland,Europe,12/1/2003,304856,91105,$217B,25%,46%,$5B,$3B
Portugal,Europe,12/1/2003,61276,25129,$162B,30%,96%,$8B,$3B
Romania,Europe,12/1/2003,95940,39525,$59B,9%,32%,$1B,$1B
Russia,Europe,12/1/2003,1604973,645323,$430B,8%,25%,$6B,$13B
San Marino,Europe,12/1/2003,,,$1B,50%,59%,,
Serbia,Europe,12/1/2003,,16635,$20B,,,$0B,$0B
Slovakia,Europe,12/1/2003,39494,18639,$46B,43%,68%,$1B,$1B
Slovenia,Europe,12/1/2003,15500,6912,$29B,32%,87%,$1B,$1B
Spain,Europe,12/1/2003,321097,133196,$884B,40%,89%,$44B,$11B
Sweden,Europe,12/1/2003,54781,50618,$315B,79%,98%,$7B,$9B
Switzerland,Europe,12/1/2003,40205,25996,$335B,65%,85%,$10B,$9B
Turkey,Europe,12/1/2003,218509,77833,$303B,12%,42%,$13B,$2B
Ukraine,Europe,12/1/2003,352259,144641,$50B,3%,14%,$1B,$1B
United Kingdom,Europe,12/1/2003,540640,222080,"$1,880B",65%,91%,$31B,$59B
Bahrain,Middle East,12/1/2003,16468,6752,$11B,22%,57%,$1B,$0B
Iran,Middle East,12/1/2003,418859,142649,$135B,7%,5%,$1B,$4B
Iraq,Middle East,12/1/2003,91118,27086,,1%,0%,,
Israel,Middle East,12/1/2003,65122,19730,$119B,20%,104%,$2B,$3B
Jordan,Middle East,12/1/2003,17470,5176,$10B,9%,27%,$1B,$1B
Kuwait,Middle East,12/1/2003,61657,22001,$48B,22%,67%,$0B,$4B
Lebanon,Middle East,12/1/2003,18221,5220,$20B,8%,22%,$7B,$3B
Oman,Middle East,12/1/2003,32391,9350,$22B,7%,25%,$1B,$1B
Qatar,Middle East,12/1/2003,36157,14185,$24B,19%,57%,$0B,$0B
Saudi Arabia,Middle East,12/1/2003,327272,121382,$215B,8%,32%,$3B,$4B
Syria,Middle East,12/1/2003,54286,16543,$22B,3%,7%,$1B,$1B
United Arab Emirates,Middle East,12/1/2003,106842,40190,$124B,30%,88%,$1B,$4B
Yemen,Middle East,12/1/2003,17305,5667,$12B,1%,4%,$0B,$0B
American Samoa,Oceania,12/1/2003,,,,,4%,,
Australia,Oceania,12/1/2003,346476,110814,$467B,,72%,$17B,$10B
Fiji,Oceania,12/1/2003,862,,$2B,7%,13%,$0B,$0B
French Polynesia,Oceania,12/1/2003,799,,,14%,24%,$1B,$0B
Guam,Oceania,12/1/2003,,,,34%,51%,,
Kiribati,Oceania,12/1/2003,40,,$0B,3%,1%,,
Marshall Islands,Oceania,12/1/2003,84,,$0B,3%,1%,$0B,$0B
"Micronesia, Fed. Sts.",Oceania,12/1/2003,147,,$0B,9%,6%,$0B,$0B
New Caledonia,Oceania,12/1/2003,2750,,,26%,44%,$0B,$0B
New Zealand,Oceania,12/1/2003,33938,16847,$87B,61%,65%,$4B,$2B
Papua New Guinea,Oceania,12/1/2003,3968,,$4B,1%,0%,$0B,$0B
Samoa,Oceania,12/1/2003,150,,$0B,3%,6%,$0B,
Solomon Islands,Oceania,12/1/2003,180,,$0B,1%,0%,$0B,$0B
Tonga,Oceania,12/1/2003,176,,$0B,3%,11%,$0B,$0B
Vanuatu,Oceania,12/1/2003,81,,$0B,4%,4%,$0B,$0B
Antigua and Barbuda,The Americas,12/1/2003,389,,$1B,17%,57%,$0B,$0B
Argentina,The Americas,12/1/2003,133127,59047,$157B,12%,21%,$2B,$3B
Aruba,The Americas,12/1/2003,2255,,$2B,21%,72%,$1B,$0B
"Bahamas, The",The Americas,12/1/2003,1518,,$7B,20%,39%,$2B,$0B
Barbados,The Americas,12/1/2003,1269,,$3B,40%,52%,$1B,$0B
Belize,The Americas,12/1/2003,374,,$1B,,23%,$0B,$0B
Bermuda,The Americas,12/1/2003,510,,$4B,57%,63%,$0B,$0B
Bolivia,The Americas,12/1/2003,14129,3688,$8B,4%,14%,$0B,$0B
Brazil,The Americas,12/1/2003,321622,198976,$552B,13%,26%,$3B,$3B
Canada,The Americas,12/1/2003,553185,262038,$888B,64%,42%,$12B,$16B
Cayman Islands,The Americas,12/1/2003,480,,,,46%,$1B,
Chile,The Americas,12/1/2003,55078,25833,$78B,26%,45%,$1B,$1B
Colombia,The Americas,12/1/2003,57422,25736,$95B,7%,15%,$1B,$1B
Costa Rica,The Americas,12/1/2003,6626,3297,$18B,20%,19%,$1B,$0B
Cuba,The Americas,12/1/2003,25486,11662,$36B,5%,0%,$2B,
Curacao,The Americas,12/1/2003,,,,,,$0B,$0B
Dominica,The Americas,12/1/2003,114,,$0B,24%,34%,$0B,$0B
Dominican Republic,The Americas,12/1/2003,21888,7479,$21B,8%,23%,$3B,$0B
Ecuador,The Americas,12/1/2003,26523,9712,$32B,5%,18%,$0B,$1B
El Salvador,The Americas,12/1/2003,6553,4418,$15B,3%,19%,$1B,$0B
Greenland,The Americas,12/1/2003,532,,$1B,55%,52%,,
Grenada,The Americas,12/1/2003,216,,$1B,19%,41%,$0B,$0B
Guatemala,The Americas,12/1/2003,10502,7436,$22B,5%,17%,$1B,$0B
Guyana,The Americas,12/1/2003,1566,,$1B,,18%,$0B,$0B
Haiti,The Americas,12/1/2003,1734,2218,$3B,2%,4%,$0B,$0B
Honduras,The Americas,12/1/2003,6769,3647,$8B,5%,6%,$0B,$0B
Jamaica,The Americas,12/1/2003,10722,3728,$9B,8%,60%,$2B,$0B
Mexico,The Americas,12/1/2003,405633,153665,$713B,13%,28%,$10B,$7B
Nicaragua,The Americas,12/1/2003,4411,2758,$5B,2%,9%,$0B,$0B
Panama,The Americas,12/1/2003,6153,2649,$13B,10%,21%,$1B,$0B
Paraguay,The Americas,12/1/2003,4070,3965,$7B,2%,31%,$0B,$0B
Peru,The Americas,12/1/2003,26380,11638,$58B,12%,11%,$1B,$1B
Puerto Rico,The Americas,12/1/2003,,,$76B,20%,45%,$3B,$1B
Sint Maarten (Dutch part),The Americas,12/1/2003,,,,,,$1B,$0B
St. Kitts and Nevis,The Americas,12/1/2003,220,,$0B,23%,46%,$0B,$0B
St. Lucia,The Americas,12/1/2003,359,,$1B,21%,61%,$0B,$0B
St. Martin (French part),The Americas,12/1/2003,,,,,,,
St. Vincent and the Grenadines,The Americas,12/1/2003,194,,$0B,7%,58%,$0B,$0B
Suriname,The Americas,12/1/2003,2241,,$1B,5%,35%,$0B,$0B
Trinidad and Tobago,The Americas,12/1/2003,27697,13541,$11B,26%,26%,$0B,$0B
Turks and Caicos Islands,The Americas,12/1/2003,103,,,,,,
United States,The Americas,12/1/2003,5681664,2261151,"$11,500B",62%,55%,$102B,$82B
Uruguay,The Americas,12/1/2003,4598,2523,$12B,16%,15%,$0B,$0B
Venezuela,The Americas,12/1/2003,192103,52881,$84B,8%,27%,$0B,$1B
Algeria,Africa,12/1/2004,89493,30974,$85B,5%,15%,$0B,$0B
Angola,Africa,12/1/2004,18793,9676,$20B,1%,5%,$0B,$0B
Benin,Africa,12/1/2004,2512,2491,$4B,1%,6%,$0B,$0B
Botswana,Africa,12/1/2004,4378,1857,$9B,3%,28%,$1B,$0B
Burkina Faso,Africa,12/1/2004,1104,,$5B,0%,3%,$0B,$0B
Burundi,Africa,12/1/2004,198,,$1B,0%,1%,$0B,$0B
Cameroon,Africa,12/1/2004,3957,6959,$16B,1%,9%,$0B,$0B
Central African Republic,Africa,12/1/2004,213,,$1B,0%,2%,$0B,$0B
Chad,Africa,12/1/2004,378,,$4B,0%,1%,,
Comoros,Africa,12/1/2004,103,34,$0B,1%,1%,$0B,$0B
Congo (Kinshasa),Africa,12/1/2004,1936,19231,$10B,0%,4%,,
Congo (Brazzaville),Africa,12/1/2004,1181,1020,$5B,1%,11%,$0B,$0B
Cote d'Ivoire,Africa,12/1/2004,7664,9302,$15B,1%,10%,$0B,$1B
Djibouti,Africa,12/1/2004,458,133,$1B,1%,5%,$0B,$0B
Egypt,Africa,12/1/2004,150912,53536,$79B,12%,11%,$6B,$2B
Equatorial Guinea,Africa,12/1/2004,5218,762,$4B,1%,11%,,
Eritrea,Africa,12/1/2004,770,744,$1B,,0%,$0B,
Ethiopia,Africa,12/1/2004,5244,28377,$10B,0%,0%,$0B,$0B
Gabon,Africa,12/1/2004,1767,1629,$7B,3%,36%,$0B,$0B
"Gambia, The",Africa,12/1/2004,323,108,$1B,3%,13%,$0B,$0B
Ghana,Africa,12/1/2004,7349,8267,$9B,2%,8%,$0B,$0B
Guinea,Africa,12/1/2004,1342,,$4B,1%,2%,,$0B
Guinea-Bissau,Africa,12/1/2004,202,86,$1B,2%,3%,$0B,$0B
Kenya,Africa,12/1/2004,7624,15552,$16B,3%,7%,$1B,$0B
Lesotho,Africa,12/1/2004,,28,$1B,2%,10%,$0B,$0B
Liberia,Africa,12/1/2004,627,,$0B,0%,3%,$0B,$0B
Libya,Africa,12/1/2004,50359,17796,$33B,4%,9%,$0B,$1B
Madagascar,Africa,12/1/2004,1808,,$4B,1%,2%,$0B,$0B
Malawi,Africa,12/1/2004,975,,$3B,0%,2%,$0B,$0B
Mali,Africa,12/1/2004,565,,$5B,0%,4%,$0B,$0B
Mauritania,Africa,12/1/2004,1632,,$2B,1%,17%,,
Mauritius,Africa,12/1/2004,3194,1019,$6B,14%,45%,$1B,$0B
Morocco,Africa,12/1/2004,43311,12221,$57B,12%,31%,$5B,$1B
Mozambique,Africa,12/1/2004,1922,8375,$6B,1%,4%,$0B,$0B
Namibia,Africa,12/1/2004,1962,1163,$7B,4%,14%,$0B,$0B
Niger,Africa,12/1/2004,964,,$3B,0%,1%,$0B,$0B
Nigeria,Africa,12/1/2004,97047,101751,$88B,1%,7%,$0B,
Rwanda,Africa,12/1/2004,689,,$2B,0%,2%,$0B,$0B
Sao Tome and Principe,Africa,12/1/2004,73,38,$0B,13%,5%,$0B,$0B
Senegal,Africa,12/1/2004,5280,2736,$8B,4%,10%,$0B,$0B
Seychelles,Africa,12/1/2004,744,256,$1B,24%,63%,$0B,$0B
Sierra Leone,Africa,12/1/2004,642,,$1B,0%,,$0B,$0B
Somalia,Africa,12/1/2004,576,,,1%,6%,,
South Africa,Africa,12/1/2004,427132,128722,$219B,8%,44%,$8B,$4B
South Sudan,Africa,12/1/2004,,,,,,,
Sudan,Africa,12/1/2004,11382,14769,$21B,1%,3%,$0B,$0B
Swaziland,Africa,12/1/2004,1030,406,$2B,3%,13%,$0B,$0B
Tanzania,Africa,12/1/2004,4353,16198,$13B,1%,5%,$1B,$0B
Togo,Africa,12/1/2004,1397,2327,$2B,2%,6%,$0B,$0B
Tunisia,Africa,12/1/2004,22446,8463,$31B,9%,38%,$2B,$0B
Uganda,Africa,12/1/2004,1852,,$8B,1%,4%,$0B,$0B
Zambia,Africa,12/1/2004,2131,7005,$5B,2%,4%,$0B,$0B
Zimbabwe,Africa,12/1/2004,9927,9269,$6B,7%,3%,$0B,
Afghanistan,Asia,12/1/2004,733,,$5B,0%,3%,,
Armenia,Asia,12/1/2004,3645,2095,$4B,5%,7%,$0B,$0B
Azerbaijan,Asia,12/1/2004,32090,12786,$9B,,17%,$0B,$0B
Bangladesh,Asia,12/1/2004,39750,22554,$57B,0%,2%,$0B,$0B
Bhutan,Asia,12/1/2004,308,180,$1B,3%,3%,$0B,
Brunei,Asia,12/1/2004,5361,2296,$8B,30%,56%,$0B,$0B
Cambodia,Asia,12/1/2004,2446,3389,$5B,0%,7%,$1B,$0B
China,Asia,12/1/2004,5288166,1639854,"$1,930B",7%,26%,$28B,$21B
Georgia,Asia,12/1/2004,4323,2781,$5B,4%,19%,$0B,$0B
Hong Kong SAR,Asia,12/1/2004,38415,12808,$169B,56%,119%,$12B,$13B
India,Asia,12/1/2004,1348525,519165,$722B,2%,5%,$6B,$6B
Indonesia,Asia,12/1/2004,337635,176238,$257B,3%,14%,$5B,$5B
Japan,Asia,12/1/2004,1259655,522488,"$4,660B",62%,72%,$14B,$48B
Kazakhstan,Asia,12/1/2004,172158,50717,$43B,3%,16%,$1B,$1B
North Korea,Asia,12/1/2004,79482,20494,,,,,
South Korea,Asia,12/1/2004,482277,208284,$765B,73%,78%,$8B,$14B
Kyrgyzstan,Asia,12/1/2004,5699,2542,$2B,5%,5%,$0B,$0B
Laos,Asia,12/1/2004,1423,,$2B,0%,4%,$0B,$0B
Macao SAR,Asia,12/1/2004,1727,,$10B,32%,94%,$7B,$1B
Malaysia,Asia,12/1/2004,167333,58691,$125B,42%,58%,$9B,$4B
Maldives,Asia,12/1/2004,777,250,$1B,7%,39%,$0B,$0B
Mongolia,Asia,12/1/2004,8551,2600,$2B,,17%,$0B,$0B
Myanmar,Asia,12/1/2004,12435,14764,,0%,0%,$0B,$0B
Nepal,Asia,12/1/2004,2769,8832,$7B,0%,1%,$0B,$0B
Pakistan,Asia,12/1/2004,131601,73580,$98B,6%,3%,$1B,$2B
Philippines,Asia,12/1/2004,74066,38643,$91B,5%,39%,$2B,$2B
Singapore,Asia,12/1/2004,28474,30845,$114B,62%,91%,$5B,$9B
Sri Lanka,Asia,12/1/2004,11965,8798,$21B,1%,11%,$1B,$0B
Tajikistan,Asia,12/1/2004,2563,2346,$2B,0%,2%,$0B,$0B
Thailand,Asia,12/1/2004,252345,96291,$161B,11%,41%,$13B,$5B
Timor-Leste,Asia,12/1/2004,176,58,$0B,,3%,,
Turkmenistan,Asia,12/1/2004,43337,18406,$7B,1%,1%,,
Uzbekistan,Asia,12/1/2004,119306,50678,$12B,3%,2%,$0B,
Vietnam,Asia,12/1/2004,90549,38968,$49B,8%,6%,$2B,
Albania,Europe,12/1/2004,4166,2172,$7B,2%,39%,$1B,$1B
Andorra,Europe,12/1/2004,565,,$2B,27%,74%,,
Austria,Europe,12/1/2004,71866,32690,$291B,54%,98%,$17B,$11B
Belarus,Europe,12/1/2004,58038,26888,$23B,,23%,$0B,$1B
Belgium,Europe,12/1/2004,111282,58895,$362B,54%,88%,$10B,$15B
Bosnia and Herzegovina,Europe,12/1/2004,24617,4811,$10B,16%,36%,$1B,$0B
Bulgaria,Europe,12/1/2004,46787,18833,$25B,18%,61%,$3B,$2B
Croatia,Europe,12/1/2004,23047,8831,$41B,31%,64%,$7B,$1B
Cyprus,Europe,12/1/2004,7334,2184,$16B,34%,65%,$3B,$1B
Czech Republic,Europe,12/1/2004,122709,45511,$114B,36%,106%,$5B,$3B
Denmark,Europe,12/1/2004,50597,19428,$245B,81%,96%,$6B,$7B
Estonia,Europe,12/1/2004,17217,5282,$12B,53%,94%,$1B,$0B
Faeroe Islands,Europe,12/1/2004,796,,$2B,67%,85%,,
Finland,Europe,12/1/2004,67091,37120,$189B,72%,95%,$3B,$3B
France,Europe,12/1/2004,390103,269777,"$2,060B",39%,73%,$52B,$36B
Germany,Europe,12/1/2004,825896,340676,"$2,730B",65%,85%,$36B,$81B
Greece,Europe,12/1/2004,97150,29707,$228B,21%,85%,$13B,$3B
Hungary,Europe,12/1/2004,57352,26157,$102B,28%,86%,$4B,$2B
Iceland,Europe,12/1/2004,2233,3368,$13B,84%,99%,$1B,$1B
Ireland,Europe,12/1/2004,43956,14269,$186B,37%,95%,$6B,$5B
Isle of Man,Europe,12/1/2004,,,$3B,,,,
Italy,Europe,12/1/2004,472768,181990,"$1,740B",33%,108%,$38B,$24B
Kosovo,Europe,12/1/2004,,2005,$4B,,,,
Latvia,Europe,12/1/2004,7132,4438,$14B,39%,68%,$0B,$0B
Liechtenstein,Europe,12/1/2004,,,$3B,64%,74%,,
Lithuania,Europe,12/1/2004,13330,9386,$23B,31%,92%,$1B,$1B
Luxembourg,Europe,12/1/2004,11269,4282,$34B,66%,104%,$4B,$3B
North Macedonia,Europe,12/1/2004,11192,2756,$6B,24%,47%,$0B,$0B
Malta,Europe,12/1/2004,2574,830,$6B,35%,74%,$1B,$0B
Moldova,Europe,12/1/2004,4554,3377,$3B,11%,21%,$0B,$0B
Monaco,Europe,12/1/2004,,,$4B,53%,47%,,
Montenegro,Europe,12/1/2004,,,$2B,25%,79%,,
Netherlands,Europe,12/1/2004,176903,79075,$610B,69%,91%,$16B,$17B
Norway,Europe,12/1/2004,42666,26433,$260B,78%,99%,$4B,$9B
Poland,Europe,12/1/2004,304988,91371,$253B,33%,60%,$6B,$5B
Portugal,Europe,12/1/2004,63175,25831,$185B,32%,101%,$9B,$3B
Romania,Europe,12/1/2004,95401,38683,$76B,15%,46%,$1B,$1B
Russia,Europe,12/1/2004,1602963,647392,$591B,13%,51%,$7B,$16B
San Marino,Europe,12/1/2004,,,$1B,51%,58%,,
Serbia,Europe,12/1/2004,,18094,$24B,24%,47%,$0B,$0B
Slovakia,Europe,12/1/2004,38749,18353,$56B,53%,79%,$1B,$1B
Slovenia,Europe,12/1/2004,15746,7131,$34B,41%,93%,$2B,$1B
Spain,Europe,12/1/2004,339429,139030,"$1,040B",44%,90%,$50B,$15B
Sweden,Europe,12/1/2004,54521,52588,$362B,84%,98%,$8B,$11B
Switzerland,Europe,12/1/2004,40392,26090,$374B,68%,85%,$11B,$10B
Turkey,Europe,12/1/2004,225407,80858,$392B,15%,52%,$16B,$3B
Ukraine,Europe,12/1/2004,343121,143843,$65B,4%,29%,$3B,$3B
United Kingdom,Europe,12/1/2004,540409,221558,"$2,220B",66%,100%,$37B,$69B
Bahrain,Middle East,12/1/2004,17510,6970,$13B,22%,79%,$2B,$1B
Iran,Middle East,12/1/2004,447480,155548,$163B,8%,7%,$1B,$4B
Iraq,Middle East,12/1/2004,114084,26901,$37B,1%,2%,,
Israel,Middle East,12/1/2004,63201,19241,$127B,23%,112%,$3B,$4B
Jordan,Middle East,12/1/2004,19241,6219,$11B,12%,32%,$2B,$1B
Kuwait,Middle East,12/1/2004,63534,23469,$59B,23%,81%,$0B,$4B
Lebanon,Middle East,12/1/2004,16835,5271,$21B,9%,23%,$6B,$4B
Oman,Middle East,12/1/2004,27987,9603,$25B,7%,33%,$1B,$1B
Qatar,Middle East,12/1/2004,44393,16648,$32B,21%,68%,$0B,$1B
Saudi Arabia,Middle East,12/1/2004,395834,143706,$259B,10%,39%,$6B,$4B
Syria,Middle East,12/1/2004,51111,17937,$25B,4%,13%,$2B,$1B
United Arab Emirates,Middle East,12/1/2004,113241,42310,$148B,30%,101%,$2B,$4B
Yemen,Middle East,12/1/2004,18881,6186,$14B,1%,8%,$0B,$0B
American Samoa,Oceania,12/1/2004,,,,,4%,,
Australia,Oceania,12/1/2004,348757,112696,$613B,,82%,$20B,$14B
Fiji,Oceania,12/1/2004,1133,666,$3B,7%,17%,$1B,$0B
French Polynesia,Oceania,12/1/2004,788,,,18%,38%,$1B,$0B
Guam,Oceania,12/1/2004,,,,36%,62%,,
Kiribati,Oceania,12/1/2004,44,8,$0B,4%,1%,,
Marshall Islands,Oceania,12/1/2004,88,29,$0B,4%,1%,$0B,$0B
"Micronesia, Fed. Sts.",Oceania,12/1/2004,147,,$0B,11%,12%,$0B,$0B
New Caledonia,Oceania,12/1/2004,2552,,,30%,52%,$0B,$0B
New Zealand,Oceania,12/1/2004,34759,17393,$103B,62%,74%,$5B,$2B
Papua New Guinea,Oceania,12/1/2004,4481,,$4B,2%,1%,$0B,$0B
Samoa,Oceania,12/1/2004,154,56,$0B,3%,9%,$0B,$0B
Solomon Islands,Oceania,12/1/2004,180,58,$0B,1%,1%,$0B,$0B
Tonga,Oceania,12/1/2004,172,57,$0B,4%,16%,$0B,$0B
Vanuatu,Oceania,12/1/2004,55,30,$0B,5%,5%,$0B,$0B
Antigua and Barbuda,The Americas,12/1/2004,407,135,$1B,24%,66%,$0B,$0B
Argentina,The Americas,12/1/2004,156170,67303,$183B,16%,35%,$3B,$3B
Aruba,The Americas,12/1/2004,2259,,$2B,23%,100%,$1B,$0B
"Bahamas, The",The Americas,12/1/2004,1723,664,$7B,22%,58%,$2B,$0B
Barbados,The Americas,12/1/2004,1294,375,$4B,50%,74%,$1B,$0B
Belize,The Americas,12/1/2004,381,155,$1B,6%,28%,$0B,$0B
Bermuda,The Americas,12/1/2004,671,,$4B,61%,77%,$0B,$0B
Bolivia,The Americas,12/1/2004,13084,3622,$9B,4%,20%,$0B,$0B
Brazil,The Americas,12/1/2004,337826,210042,$664B,19%,36%,$3B,$4B
Mauritius,Africa,12/1/2005,3410,1077,$6B,15%,54%,$1B,$0B
Tunisia,Africa,12/1/2005,22801,8314,$32B,10%,57%,$3B,$0B
Seychelles,Africa,12/1/2005,697,228,$1B,25%,68%,$0B,$0B
Morocco,Africa,12/1/2005,45771,13327,$60B,15%,41%,$5B,$1B
Algeria,Africa,12/1/2005,107128,32335,$103B,6%,40%,$0B,$1B
South Africa,Africa,12/1/2005,396117,128214,$247B,8%,70%,$9B,$5B
Libya,Africa,12/1/2005,52108,17670,$44B,4%,36%,$0B,$1B
Egypt,Africa,12/1/2005,167208,62741,$90B,13%,19%,$7B,$2B
Botswana,Africa,12/1/2005,4613,1929,$10B,3%,30%,$1B,$0B
Lesotho,Africa,12/1/2005,,33,$1B,3%,13%,$0B,$0B
Namibia,Africa,12/1/2005,2310,1294,$7B,4%,22%,$0B,$0B
Djibouti,Africa,12/1/2005,473,139,$1B,1%,6%,$0B,$0B
Zimbabwe,Africa,12/1/2005,10774,9685,$6B,8%,5%,$0B,
Swaziland,Africa,12/1/2005,1019,399,$3B,4%,18%,$0B,$0B
Gabon,Africa,12/1/2005,2087,1718,$9B,5%,53%,$0B,$0B
Ghana,Africa,12/1/2005,6956,8229,$11B,2%,13%,$1B,$0B
Central African Republic,Africa,12/1/2005,213,,$1B,0%,3%,$0B,$0B
Cote d'Ivoire,Africa,12/1/2005,7825,9634,$16B,1%,14%,$0B,$1B
Mauritania,Africa,12/1/2005,1676,,$2B,1%,24%,,
Equatorial Guinea,Africa,12/1/2005,4712,1249,$7B,1%,16%,,
Togo,Africa,12/1/2005,1338,2372,$2B,2%,8%,$0B,$0B
Rwanda,Africa,12/1/2005,528,,$3B,1%,2%,$0B,$0B
Sudan,Africa,12/1/2005,10708,14837,$27B,1%,5%,$0B,$1B
Madagascar,Africa,12/1/2005,1742,,$5B,1%,3%,$0B,$0B
Sao Tome and Principe,Africa,12/1/2005,77,43,$0B,14%,8%,$0B,$0B
Congo (Brazzaville),Africa,12/1/2005,1456,1083,$6B,2%,16%,$0B,$0B
Kenya,Africa,12/1/2005,8562,16151,$19B,3%,13%,$1B,$0B
Ethiopia,Africa,12/1/2005,5053,28935,$12B,0%,1%,$1B,$0B
Comoros,Africa,12/1/2005,110,37,$0B,2%,3%,$0B,$0B
Senegal,Africa,12/1/2005,5860,2791,$9B,5%,15%,$0B,$0B
South Sudan,Africa,12/1/2005,,,,,,,
Cameroon,Africa,12/1/2005,3696,6981,$17B,1%,12%,$0B,$0B
Guinea-Bissau,Africa,12/1/2005,213,87,$1B,2%,7%,$0B,$0B
Guinea,Africa,12/1/2005,1181,,$3B,1%,2%,,$0B
Liberia,Africa,12/1/2005,741,,$1B,,5%,$0B,$0B
Benin,Africa,12/1/2005,2398,2499,$4B,1%,7%,$0B,$0B
Eritrea,Africa,12/1/2005,766,763,$1B,,1%,$0B,
Sierra Leone,Africa,12/1/2005,546,,$2B,0%,,$0B,$0B
Nigeria,Africa,12/1/2005,104697,106509,$112B,4%,13%,$0B,$1B
Malawi,Africa,12/1/2005,917,,$3B,0%,3%,$0B,$0B
Tanzania,Africa,12/1/2005,5618,17141,$14B,1%,8%,$1B,$1B
Zambia,Africa,12/1/2005,2274,7213,$7B,3%,8%,$0B,$0B
Mozambique,Africa,12/1/2005,1822,8489,$7B,1%,7%,$0B,$0B
Burundi,Africa,12/1/2005,154,,$1B,1%,2%,$0B,$0B
"Gambia, The",Africa,12/1/2005,323,108,$1B,4%,17%,$0B,$0B
Burkina Faso,Africa,12/1/2005,1126,,$5B,1%,5%,$0B,$0B
Congo (Kinshasa),Africa,12/1/2005,2226,19971,$12B,0%,5%,$0B,$0B
Somalia,Africa,12/1/2005,579,,,1%,6%,,
Uganda,Africa,12/1/2005,2285,,$9B,2%,5%,$0B,$0B
Mali,Africa,12/1/2005,568,,$5B,1%,6%,$0B,$0B
Angola,Africa,12/1/2005,19156,9356,$28B,1%,10%,$0B,$0B
Chad,Africa,12/1/2005,400,,$7B,0%,2%,,
Niger,Africa,12/1/2005,829,,$3B,0%,3%,$0B,$0B
Mauritius,Africa,12/1/2006,3777,1173,$7B,17%,64%,$1B,$0B
Seychelles,Africa,12/1/2006,744,243,$1B,35%,80%,$0B,$0B
Tunisia,Africa,12/1/2006,23128,8752,$34B,13%,72%,$3B,$0B
Morocco,Africa,12/1/2006,47425,13648,$66B,20%,53%,$7B,$1B
Algeria,Africa,12/1/2006,103963,34658,$117B,7%,61%,$0B,$0B
South Africa,Africa,12/1/2006,424844,127255,$261B,8%,81%,$9B,$5B
Libya,Africa,12/1/2006,53788,17899,$56B,4%,69%,$0B,$1B
Egypt,Africa,12/1/2006,178616,66269,$107B,14%,25%,$8B,$2B
Botswana,Africa,12/1/2006,4646,1956,$10B,4%,43%,$1B,$0B
Lesotho,Africa,12/1/2006,,19,$1B,3%,18%,$0B,$0B
Namibia,Africa,12/1/2006,2329,1294,$8B,4%,30%,$0B,$0B
Djibouti,Africa,12/1/2006,488,143,$1B,1%,6%,$0B,$0B
Swaziland,Africa,12/1/2006,1016,406,$3B,4%,22%,$0B,$0B
Zimbabwe,Africa,12/1/2006,10345,9714,$5B,10%,7%,$0B,
Gabon,Africa,12/1/2006,1977,1768,$10B,6%,64%,,
