Country/Region,Region,Year,Birth Rate,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban
Egypt,Africa,12/1/2003,2.40%,0.335,0.61,0.054,69.4M,42.90%
Equatorial Guinea,Africa,12/1/2003,3.80%,0.415,0.551,0.034,0.6M,38.80%
Eritrea,Africa,12/1/2003,4.00%,0.446,0.535,0.019,4.5M,18.30%
Ethiopia,Africa,12/1/2003,4.10%,0.465,0.504,0.031,72.0M,15.30%
Gabon,Africa,12/1/2003,3.30%,0.399,0.543,0.057,1.3M,82.20%
"Gambia, The",Africa,12/1/2003,4.50%,0.459,0.515,0.026,1.3M,50.60%
Ghana,Africa,12/1/2003,3.40%,0.407,0.561,0.032,20.3M,46.00%
Guinea,Africa,12/1/2003,4.10%,0.438,0.529,0.033,9.2M,32.10%
Guinea-Bissau,Africa,12/1/2003,4.10%,0.431,0.539,0.03,1.4M,39.20%
Kenya,Africa,12/1/2003,3.90%,0.432,0.541,0.028,33.9M,20.90%
Lesotho,Africa,12/1/2003,3.00%,0.404,0.55,0.046,1.9M,21.10%
Liberia,Africa,12/1/2003,4.10%,0.432,0.537,0.03,3.1M,45.40%
Libya,Africa,12/1/2003,2.30%,0.315,0.644,0.041,5.4M,76.70%
Madagascar,Africa,12/1/2003,3.90%,0.452,0.518,0.029,17.2M,27.90%
Malawi,Africa,12/1/2003,4.30%,0.461,0.509,0.03,12.2M,14.90%
Mali,Africa,12/1/2003,4.80%,0.462,0.506,0.032,11.2M,30.50%
Mauritania,Africa,12/1/2003,3.70%,0.42,0.548,0.032,3.0M,51.60%
Mauritius,Africa,12/1/2003,1.60%,0.249,0.687,0.064,1.2M,42.00%
Morocco,Africa,12/1/2003,2.10%,0.32,0.631,0.049,29.6M,54.30%
Mozambique,Africa,12/1/2003,4.50%,0.444,0.525,0.032,19.9M,29.60%
Namibia,Africa,12/1/2003,3.00%,0.401,0.565,0.033,2.0M,34.70%
Niger,Africa,12/1/2003,5.20%,0.486,0.489,0.025,12.3M,16.50%
Nigeria,Africa,12/1/2003,4.30%,0.435,0.538,0.028,132.6M,37.40%
Rwanda,Africa,12/1/2003,3.90%,0.452,0.521,0.027,9.1M,17.60%
Sao Tome and Principe,Africa,12/1/2003,3.70%,0.426,0.534,0.04,0.1M,56.30%
Senegal,Africa,12/1/2003,3.90%,0.445,0.524,0.032,10.7M,40.80%
Seychelles,Africa,12/1/2003,1.80%,0.258,0.664,0.078,0.1M,50.60%
Sierra Leone,Africa,12/1/2003,4.30%,0.428,0.548,0.024,4.7M,36.40%
Somalia,Africa,12/1/2003,4.70%,0.476,0.495,0.029,8.0M,34.40%
South Africa,Africa,12/1/2003,2.30%,0.316,0.645,0.039,46.4M,58.40%
South Sudan,Africa,12/1/2003,4.10%,0.444,0.525,0.031,7.4M,16.90%
Sudan,Africa,12/1/2003,3.90%,0.435,0.535,0.03,30.0M,32.70%
Swaziland,Africa,12/1/2003,3.20%,0.43,0.539,0.031,1.1M,22.30%
Tanzania,Africa,12/1/2003,4.20%,0.446,0.524,0.03,36.8M,23.60%
Togo,Africa,12/1/2003,3.90%,0.433,0.539,0.028,5.3M,34.30%
Tunisia,Africa,12/1/2003,1.70%,0.272,0.663,0.065,9.8M,64.60%
Uganda,Africa,12/1/2003,4.70%,0.494,0.481,0.026,26.8M,12.50%
Zambia,Africa,12/1/2003,4.50%,0.464,0.509,0.027,10.9M,35.80%
Zimbabwe,Africa,12/1/2003,3.20%,0.416,0.549,0.035,12.7M,34.50%
Afghanistan,Asia,12/1/2003,4.70%,0.494,0.485,0.02,23.1M,22.20%
Armenia,Asia,12/1/2003,1.40%,0.233,0.655,0.112,3.0M,64.30%
Azerbaijan,Asia,12/1/2003,1.40%,0.28,0.658,0.062,8.2M,52.00%
Bangladesh,Asia,12/1/2003,2.50%,0.354,0.605,0.042,139.2M,25.40%
Bhutan,Asia,12/1/2003,2.50%,0.365,0.595,0.04,0.6M,28.70%
Brunei,Asia,12/1/2003,2.10%,0.295,0.675,0.03,0.4M,72.60%
Cambodia,Asia,12/1/2003,2.60%,0.379,0.58,0.041,12.9M,18.90%
China,Asia,12/1/2003,1.20%,0.225,0.702,0.074,"1,288.4M",39.80%
Georgia,Asia,12/1/2003,1.20%,0.197,0.664,0.139,4.3M,52.40%
Hong Kong SAR,Asia,12/1/2003,0.70%,0.155,0.728,0.117,6.7M,100.00%
India,Asia,12/1/2003,2.40%,0.33,0.624,0.046,"1,093.8M",28.60%
Indonesia,Asia,12/1/2003,2.10%,0.301,0.651,0.048,218.1M,44.40%
Japan,Asia,12/1/2003,0.90%,0.141,0.672,0.188,127.7M,83.20%
Kazakhstan,Asia,12/1/2003,1.70%,0.257,0.67,0.074,14.9M,55.10%
North Korea,Asia,12/1/2003,1.60%,0.253,0.679,0.068,23.4M,59.60%
South Korea,Asia,12/1/2003,1.00%,0.199,0.716,0.085,47.9M,80.70%
Kyrgyzstan,Asia,12/1/2003,2.10%,0.326,0.617,0.057,5.0M,35.30%
Laos,Asia,12/1/2003,2.90%,0.418,0.545,0.037,5.6M,25.10%
Macao SAR,Asia,12/1/2003,0.80%,0.197,0.73,0.074,0.5M,100.00%
Malaysia,Asia,12/1/2003,2.00%,0.315,0.644,0.042,24.9M,64.80%
Maldives,Asia,12/1/2003,2.20%,0.37,0.587,0.043,0.3M,31.30%
Mongolia,Asia,12/1/2003,1.90%,0.311,0.652,0.037,2.5M,60.40%
Myanmar,Asia,12/1/2003,2.00%,0.29,0.661,0.048,49.6M,28.10%
Nepal,Asia,12/1/2003,3.00%,0.399,0.559,0.041,24.5M,14.60%
Pakistan,Asia,12/1/2003,2.90%,0.395,0.564,0.04,152.4M,34.10%
Philippines,Asia,12/1/2003,2.80%,0.377,0.59,0.033,82.6M,47.10%
Singapore,Asia,12/1/2003,1.10%,0.201,0.72,0.079,4.1M,100.00%
Sri Lanka,Asia,12/1/2003,1.90%,0.258,0.675,0.067,19.2M,18.40%
Tajikistan,Asia,12/1/2003,2.90%,0.402,0.561,0.037,6.5M,26.40%
Thailand,Asia,12/1/2003,1.30%,0.231,0.696,0.073,64.5M,35.00%
Timor-Leste,Asia,12/1/2003,3.90%,0.491,0.483,0.026,0.9M,25.30%
Turkmenistan,Asia,12/1/2003,2.30%,0.342,0.613,0.045,4.6M,46.60%
Uzbekistan,Asia,12/1/2003,2.00%,0.349,0.605,0.046,25.6M,37.00%
Vietnam,Asia,12/1/2003,1.70%,0.289,0.646,0.065,80.5M,26.10%
Albania,Europe,12/1/2003,1.60%,0.282,0.64,0.078,3.0M,44.60%
Andorra,Europe,12/1/2003,1.00%,0,0,0,0.1M,91.20%
Austria,Europe,12/1/2003,1.00%,0.165,0.678,0.157,8.1M,65.80%
Belarus,Europe,12/1/2003,0.90%,0.166,0.691,0.143,9.8M,71.40%
Belgium,Europe,12/1/2003,1.10%,0.173,0.655,0.172,10.4M,97.30%
Bosnia and Herzegovina,Europe,12/1/2003,0.90%,0.194,0.684,0.122,3.9M,39.20%
Bulgaria,Europe,12/1/2003,0.90%,0.143,0.685,0.171,7.8M,69.90%
Croatia,Europe,12/1/2003,0.90%,0.164,0.67,0.166,4.4M,56.00%
Cyprus,Europe,12/1/2003,1.20%,0.209,0.686,0.105,1.0M,68.60%
Czech Republic,Europe,12/1/2003,0.90%,0.154,0.707,0.139,10.2M,73.70%
Denmark,Europe,12/1/2003,1.20%,0.188,0.663,0.149,5.4M,85.40%
Estonia,Europe,12/1/2003,1.00%,0.161,0.676,0.163,1.4M,69.00%
Faeroe Islands,Europe,12/1/2003,0,0,0,0,0.0M,38.70%
Finland,Europe,12/1/2003,1.10%,0.177,0.668,0.155,5.2M,82.60%
France,Europe,12/1/2003,1.30%,0.186,0.651,0.163,62.2M,76.60%
Germany,Europe,12/1/2003,0.90%,0.148,0.673,0.179,82.5M,73.20%
Greece,Europe,12/1/2003,1.00%,0.146,0.674,0.18,11.0M,73.70%
Hungary,Europe,12/1/2003,0.90%,0.16,0.685,0.155,10.1M,65.50%
Iceland,Europe,12/1/2003,1.40%,0.225,0.658,0.117,0.3M,92.80%
Ireland,Europe,12/1/2003,1.50%,0.208,0.681,0.111,4.0M,59.90%
Isle of Man,Europe,12/1/2003,0,0,0,0,0.1M,51.90%
Italy,Europe,12/1/2003,0.90%,0.142,0.667,0.192,57.3M,67.50%
Kosovo,Europe,12/1/2003,1.80%,0,0,0,1.7M,0.00%
Latvia,Europe,12/1/2003,0.90%,0.158,0.679,0.163,2.3M,67.80%
Liechtenstein,Europe,12/1/2003,1.00%,0,0,0,0.0M,14.90%
Lithuania,Europe,12/1/2003,0.90%,0.18,0.673,0.147,3.4M,66.70%
Luxembourg,Europe,12/1/2003,1.20%,0.189,0.668,0.144,0.5M,85.70%
North Macedonia,Europe,12/1/2003,1.20%,0.208,0.684,0.108,2.1M,57.90%
Malta,Europe,12/1/2003,1.00%,0.185,0.691,0.123,0.4M,93.20%
Moldova,Europe,12/1/2003,1.20%,0.208,0.683,0.108,3.6M,45.50%
Monaco,Europe,12/1/2003,0,0,0,0,0.0M,100.00%
Montenegro,Europe,12/1/2003,1.30%,0.205,0.67,0.125,0.6M,61.60%
Netherlands,Europe,12/1/2003,1.20%,0.186,0.676,0.138,16.2M,80.30%
Norway,Europe,12/1/2003,1.20%,0.199,0.653,0.148,4.6M,77.20%
Poland,Europe,12/1/2003,0.90%,0.174,0.696,0.13,38.2M,61.70%
Portugal,Europe,12/1/2003,1.10%,0.158,0.674,0.168,10.5M,56.30%
Romania,Europe,12/1/2003,1.00%,0.166,0.691,0.143,21.6M,52.90%
Russia,Europe,12/1/2003,1.00%,0.162,0.705,0.134,144.7M,73.40%
San Marino,Europe,12/1/2003,0,0,0,0,0.0M,94.00%
Serbia,Europe,12/1/2003,1.10%,0.189,0.674,0.137,7.5M,54.00%
Slovakia,Europe,12/1/2003,1.00%,0.179,0.706,0.116,5.4M,55.90%
Slovenia,Europe,12/1/2003,0.90%,0.147,0.703,0.15,2.0M,50.70%
Spain,Europe,12/1/2003,1.00%,0.145,0.687,0.169,42.2M,76.80%
Sweden,Europe,12/1/2003,1.10%,0.179,0.649,0.172,9.0M,84.20%
Switzerland,Europe,12/1/2003,1.00%,0.168,0.676,0.156,7.3M,73.40%
Turkey,Europe,12/1/2003,2.00%,0.293,0.643,0.064,65.9M,66.60%
Ukraine,Europe,12/1/2003,0.90%,0.156,0.693,0.15,47.8M,67.40%
United Kingdom,Europe,12/1/2003,1.20%,0.183,0.658,0.159,59.6M,79.30%
Bahrain,Middle East,12/1/2003,2.00%,0.294,0.683,0.023,0.8M,88.40%
Iran,Middle East,12/1/2003,1.80%,0.289,0.664,0.047,68.5M,66.20%
Iraq,Middle East,12/1/2003,3.50%,0.422,0.543,0.035,26.0M,68.70%
Israel,Middle East,12/1/2003,2.20%,0.28,0.62,0.1,6.7M,91.40%
Jordan,Middle East,12/1/2003,3.00%,0.387,0.582,0.031,5.2M,80.60%
Kuwait,Middle East,12/1/2003,2.20%,0.256,0.71,0.034,2.1M,98.20%
Lebanon,Middle East,12/1/2003,1.60%,0.284,0.643,0.073,3.7M,86.30%
Oman,Middle East,12/1/2003,2.20%,0.364,0.612,0.025,2.4M,71.50%
Qatar,Middle East,12/1/2003,1.70%,0.269,0.716,0.015,0.7M,96.90%
Saudi Arabia,Middle East,12/1/2003,2.40%,0.359,0.608,0.033,22.9M,80.50%
Syria,Middle East,12/1/2003,2.80%,0.396,0.57,0.034,17.3M,53.00%
United Arab Emirates,Middle East,12/1/2003,1.60%,0.234,0.756,0.01,3.4M,81.50%
Yemen,Middle East,12/1/2003,3.70%,0.47,0.503,0.027,19.1M,27.80%
American Samoa,Oceania,12/1/2003,0,0,0,0,0.1M,88.30%
Australia,Oceania,12/1/2003,1.30%,0.202,0.671,0.127,19.9M,87.70%
Fiji,Oceania,12/1/2003,2.40%,0.324,0.638,0.038,0.8M,49.10%
French Polynesia,Oceania,12/1/2003,1.90%,0.294,0.659,0.046,0.2M,56.00%
Guam,Oceania,12/1/2003,2.00%,0.3,0.64,0.06,0.2M,93.40%
Kiribati,Oceania,12/1/2003,2.60%,0.383,0.582,0.035,0.1M,43.50%
Marshall Islands,Oceania,12/1/2003,0,0,0,0,0.1M,69.30%
"Micronesia, Fed. Sts.",Oceania,12/1/2003,2.80%,0.393,0.568,0.039,0.1M,22.30%
New Caledonia,Oceania,12/1/2003,1.80%,0.278,0.659,0.063,0.2M,62.90%
New Zealand,Oceania,12/1/2003,1.40%,0.221,0.661,0.119,4.0M,86.00%
Papua New Guinea,Oceania,12/1/2003,3.40%,0.401,0.573,0.026,5.8M,13.10%
Samoa,Oceania,12/1/2003,3.00%,0.401,0.552,0.047,0.2M,21.70%
Solomon Islands,Oceania,12/1/2003,3.50%,0.415,0.556,0.029,0.4M,17.00%
Tonga,Oceania,12/1/2003,2.90%,0.382,0.559,0.06,0.1M,23.10%
Vanuatu,Oceania,12/1/2003,3.10%,0.404,0.564,0.032,0.2M,22.50%
Antigua and Barbuda,The Americas,12/1/2003,1.90%,0.288,0.64,0.071,0.1M,30.50%
Argentina,The Americas,12/1/2003,1.80%,0.27,0.629,0.101,38.0M,89.70%
Aruba,The Americas,12/1/2003,1.30%,0.221,0.698,0.081,0.1M,45.60%
"Bahamas, The",The Americas,12/1/2003,1.60%,0.271,0.67,0.059,0.3M,82.20%
Barbados,The Americas,12/1/2003,1.30%,0.211,0.677,0.112,0.3M,33.30%
Belize,The Americas,12/1/2003,2.80%,0.388,0.57,0.042,0.3M,46.90%
Bermuda,The Americas,12/1/2003,1.30%,0,0,0,0.1M,100.00%
Bolivia,The Americas,12/1/2003,3.00%,0.39,0.567,0.043,9.0M,63.30%
Brazil,The Americas,12/1/2003,1.90%,0.283,0.658,0.059,181.8M,82.20%
Canada,The Americas,12/1/2003,1.10%,0.183,0.689,0.129,31.7M,80.00%
Cayman Islands,The Americas,12/1/2003,0,0,0,0,0.0M,100.00%
Chile,The Americas,12/1/2003,1.60%,0.261,0.662,0.077,16.0M,86.90%
Colombia,The Americas,12/1/2003,2.20%,0.316,0.635,0.049,41.9M,73.00%
Costa Rica,The Americas,12/1/2003,1.80%,0.293,0.65,0.057,4.2M,63.10%
Cuba,The Americas,12/1/2003,1.20%,0.204,0.691,0.105,11.2M,75.90%
Curacao,The Americas,12/1/2003,0,0.225,0.66,0.114,0.1M,90.80%
Dominica,The Americas,12/1/2003,0,0,0,0,0.1M,66.00%
Dominican Republic,The Americas,12/1/2003,2.40%,0.338,0.607,0.055,9.1M,64.60%
Ecuador,The Americas,12/1/2003,2.40%,0.334,0.612,0.054,13.3M,61.30%
El Salvador,The Americas,12/1/2003,2.20%,0.369,0.572,0.059,6.0M,60.60%
Greenland,The Americas,12/1/2003,1.60%,0,0,0,0.1M,82.30%
Grenada,The Americas,12/1/2003,1.90%,0.319,0.603,0.077,0.1M,36.00%
Guatemala,The Americas,12/1/2003,3.50%,0.436,0.522,0.042,12.1M,46.30%
Guyana,The Americas,12/1/2003,2.20%,0.36,0.599,0.041,0.8M,28.40%
Haiti,The Americas,12/1/2003,3.00%,0.389,0.57,0.041,9.0M,40.60%
Honduras,The Americas,12/1/2003,3.00%,0.409,0.55,0.041,6.6M,47.20%
Jamaica,The Americas,12/1/2003,1.70%,0.318,0.606,0.076,2.6M,52.40%
Mexico,The Americas,12/1/2003,2.30%,0.33,0.618,0.051,108.1M,75.70%
Nicaragua,The Americas,12/1/2003,2.60%,0.391,0.57,0.039,5.3M,55.50%
Panama,The Americas,12/1/2003,2.30%,0.313,0.629,0.058,3.2M,63.10%
Paraguay,The Americas,12/1/2003,2.70%,0.368,0.586,0.046,5.7M,56.90%
Peru,The Americas,12/1/2003,2.30%,0.328,0.62,0.052,27.1M,74.20%
Puerto Rico,The Americas,12/1/2003,1.30%,0.227,0.654,0.118,3.8M,94.20%
Sint Maarten (Dutch part),The Americas,12/1/2003,0,0,0,0,0.0M,100.00%
St. Kitts and Nevis,The Americas,12/1/2003,0,0,0,0,0.0M,32.30%
St. Lucia,The Americas,12/1/2003,1.80%,0.3,0.628,0.072,0.2M,25.20%
St. Martin (French part),The Americas,12/1/2003,1.70%,0,0,0,0.0M,0.00%
St. Vincent and the Grenadines,The Americas,12/1/2003,1.90%,0.296,0.632,0.072,0.1M,46.30%
Suriname,The Americas,12/1/2003,2.10%,0.301,0.639,0.059,0.5M,66.70%
Trinidad and Tobago,The Americas,12/1/2003,1.50%,0.23,0.701,0.069,1.3M,10.20%
Turks and Caicos Islands,The Americas,12/1/2003,0,0,0,0,0.0M,86.60%
United States,The Americas,12/1/2003,1.40%,0.209,0.669,0.123,290.1M,79.60%
Uruguay,The Americas,12/1/2003,1.60%,0.242,0.625,0.134,3.3M,92.80%
Venezuela,The Americas,12/1/2003,2.30%,0.322,0.63,0.048,25.8M,88.50%
Algeria,Africa,12/1/2004,2.00%,0.297,0.66,0.043,33.5M,63.10%
Angola,Africa,12/1/2004,5.00%,0.477,0.498,0.025,16.0M,35.40%
Benin,Africa,12/1/2004,4.10%,0.447,0.525,0.028,7.9M,39.60%
Botswana,Africa,12/1/2004,2.60%,0.362,0.607,0.032,1.9M,54.80%
Burkina Faso,Africa,12/1/2004,4.50%,0.466,0.508,0.026,13.0M,20.80%
Burundi,Africa,12/1/2004,4.30%,0.461,0.512,0.028,7.5M,9.10%
Cameroon,Africa,12/1/2004,4.10%,0.445,0.522,0.033,17.7M,47.90%
Central African Republic,Africa,12/1/2004,3.80%,0.42,0.54,0.04,3.9M,38.00%
Chad,Africa,12/1/2004,5.00%,0.492,0.481,0.027,9.7M,21.80%
Comoros,Africa,12/1/2004,3.90%,0.414,0.556,0.03,0.6M,27.90%
Congo (Kinshasa),Africa,12/1/2004,4.60%,0.463,0.509,0.028,52.5M,37.00%
Congo (Brazzaville),Africa,12/1/2004,3.90%,0.422,0.543,0.035,3.4M,60.50%
Cote d'Ivoire,Africa,12/1/2004,3.70%,0.423,0.548,0.029,17.1M,46.20%
Djibouti,Africa,12/1/2004,2.90%,0.381,0.586,0.033,0.8M,76.70%
Egypt,Africa,12/1/2004,2.40%,0.33,0.616,0.054,70.6M,43.00%
Equatorial Guinea,Africa,12/1/2004,3.80%,0.41,0.557,0.033,0.6M,38.80%
Eritrea,Africa,12/1/2004,4.00%,0.44,0.541,0.019,4.7M,18.60%
Ethiopia,Africa,12/1/2004,4.00%,0.464,0.505,0.031,74.1M,15.50%
Gabon,Africa,12/1/2004,3.30%,0.397,0.546,0.057,1.3M,82.80%
"Gambia, The",Africa,12/1/2004,4.40%,0.46,0.515,0.026,1.4M,51.50%
Ghana,Africa,12/1/2004,3.40%,0.404,0.562,0.033,20.8M,46.60%
Guinea,Africa,12/1/2004,4.00%,0.437,0.53,0.033,9.4M,32.40%
Guinea-Bissau,Africa,12/1/2004,4.00%,0.43,0.54,0.029,1.4M,40.00%
Kenya,Africa,12/1/2004,3.90%,0.429,0.543,0.027,34.8M,21.30%
Lesotho,Africa,12/1/2004,2.90%,0.4,0.553,0.046,1.9M,21.70%
Liberia,Africa,12/1/2004,4.10%,0.433,0.537,0.03,3.2M,45.70%
Libya,Africa,12/1/2004,2.30%,0.31,0.648,0.042,5.5M,76.80%
Madagascar,Africa,12/1/2004,3.80%,0.45,0.52,0.029,17.8M,28.20%
Malawi,Africa,12/1/2004,4.30%,0.461,0.508,0.03,12.6M,15.00%
Mali,Africa,12/1/2004,4.80%,0.462,0.506,0.031,11.6M,31.30%
Mauritania,Africa,12/1/2004,3.70%,0.418,0.551,0.032,3.1M,52.40%
Mauritius,Africa,12/1/2004,1.60%,0.246,0.689,0.065,1.2M,41.80%
Morocco,Africa,12/1/2004,2.00%,0.314,0.636,0.049,29.9M,54.60%
Mozambique,Africa,12/1/2004,4.40%,0.446,0.522,0.032,20.4M,29.80%
Namibia,Africa,12/1/2004,3.00%,0.4,0.567,0.033,2.0M,35.70%
Niger,Africa,12/1/2004,5.20%,0.488,0.487,0.025,12.7M,16.60%
Nigeria,Africa,12/1/2004,4.30%,0.435,0.538,0.027,136.0M,38.20%
Rwanda,Africa,12/1/2004,3.90%,0.446,0.528,0.026,9.3M,18.40%
Sao Tome and Principe,Africa,12/1/2004,3.80%,0.422,0.537,0.04,0.2M,57.10%
Senegal,Africa,12/1/2004,3.90%,0.443,0.526,0.032,11.0M,40.90%
Seychelles,Africa,12/1/2004,1.70%,0.25,0.673,0.076,0.1M,50.80%
Sierra Leone,Africa,12/1/2004,4.20%,0.427,0.549,0.024,4.9M,36.60%
Somalia,Africa,12/1/2004,4.70%,0.477,0.494,0.029,8.2M,34.80%
South Africa,Africa,12/1/2004,2.30%,0.312,0.647,0.042,47.0M,59.00%
South Sudan,Africa,12/1/2004,4.00%,0.442,0.526,0.032,7.7M,17.00%
Sudan,Africa,12/1/2004,3.80%,0.433,0.536,0.03,30.8M,32.70%
Swaziland,Africa,12/1/2004,3.20%,0.424,0.545,0.031,1.1M,22.20%
Tanzania,Africa,12/1/2004,4.20%,0.446,0.524,0.03,37.8M,24.20%
Togo,Africa,12/1/2004,3.80%,0.431,0.541,0.028,5.4M,34.70%
Tunisia,Africa,12/1/2004,1.70%,0.265,0.669,0.066,9.9M,64.90%
Uganda,Africa,12/1/2004,4.70%,0.494,0.481,0.025,27.8M,12.80%
Zambia,Africa,12/1/2004,4.40%,0.466,0.507,0.027,11.2M,36.20%
Zimbabwe,Africa,12/1/2004,3.20%,0.415,0.549,0.036,12.7M,34.30%
Afghanistan,Asia,12/1/2004,4.60%,0.494,0.486,0.02,24.0M,22.60%
Armenia,Asia,12/1/2004,1.40%,0.225,0.66,0.115,3.0M,64.20%
Azerbaijan,Asia,12/1/2004,1.60%,0.27,0.667,0.064,8.3M,52.20%
Bangladesh,Asia,12/1/2004,2.40%,0.348,0.609,0.042,141.2M,26.10%
Bhutan,Asia,12/1/2004,2.40%,0.352,0.608,0.04,0.6M,29.80%
Brunei,Asia,12/1/2004,2.00%,0.292,0.677,0.031,0.4M,73.10%
Cambodia,Asia,12/1/2004,2.60%,0.37,0.588,0.043,13.1M,19.10%
China,Asia,12/1/2004,1.20%,0.214,0.711,0.075,"1,296.1M",41.10%
Georgia,Asia,12/1/2004,1.20%,0.19,0.667,0.143,4.3M,52.40%
Hong Kong SAR,Asia,12/1/2004,0.70%,0.148,0.732,0.119,6.8M,100.00%
India,Asia,12/1/2004,2.40%,0.326,0.627,0.046,"1,110.6M",28.90%
Indonesia,Asia,12/1/2004,2.10%,0.3,0.651,0.048,221.3M,45.10%
Japan,Asia,12/1/2004,0.90%,0.139,0.668,0.193,127.8M,84.60%
Kazakhstan,Asia,12/1/2004,1.80%,0.251,0.674,0.076,15.0M,54.90%
North Korea,Asia,12/1/2004,1.60%,0.25,0.678,0.071,23.6M,59.70%
South Korea,Asia,12/1/2004,1.00%,0.196,0.716,0.089,48.0M,81.00%
Kyrgyzstan,Asia,12/1/2004,2.20%,0.319,0.624,0.057,5.1M,35.30%
Laos,Asia,12/1/2004,2.80%,0.411,0.552,0.037,5.7M,26.20%
Macao SAR,Asia,12/1/2004,0.80%,0.185,0.742,0.074,0.5M,100.00%
Malaysia,Asia,12/1/2004,1.90%,0.308,0.649,0.043,25.4M,65.70%
Maldives,Asia,12/1/2004,2.10%,0.356,0.599,0.044,0.3M,32.50%
Mongolia,Asia,12/1/2004,2.00%,0.299,0.664,0.037,2.5M,61.40%
Myanmar,Asia,12/1/2004,1.90%,0.286,0.666,0.049,49.9M,28.50%
Nepal,Asia,12/1/2004,2.90%,0.397,0.56,0.043,24.9M,14.90%
Pakistan,Asia,12/1/2004,2.80%,0.388,0.571,0.041,155.2M,34.40%
Philippines,Asia,12/1/2004,2.80%,0.374,0.592,0.034,84.2M,46.90%
Singapore,Asia,12/1/2004,1.00%,0.196,0.723,0.081,4.2M,100.00%
Sri Lanka,Asia,12/1/2004,1.90%,0.256,0.675,0.069,19.4M,18.40%
Tajikistan,Asia,12/1/2004,2.90%,0.392,0.57,0.037,6.7M,26.40%
Thailand,Asia,12/1/2004,1.30%,0.228,0.697,0.075,65.1M,36.30%
Timor-Leste,Asia,12/1/2004,3.80%,0.484,0.489,0.027,1.0M,25.70%
Turkmenistan,Asia,12/1/2004,2.30%,0.334,0.62,0.046,4.7M,46.80%
Uzbekistan,Asia,12/1/2004,2.10%,0.341,0.613,0.047,25.9M,36.80%
Vietnam,Asia,12/1/2004,1.70%,0.28,0.654,0.066,81.4M,26.70%
Albania,Europe,12/1/2004,1.50%,0.273,0.645,0.082,3.0M,45.70%
Andorra,Europe,12/1/2004,1.10%,0,0,0,0.1M,90.80%
Austria,Europe,12/1/2004,1.00%,0.163,0.679,0.158,8.2M,65.80%
Belarus,Europe,12/1/2004,0.90%,0.16,0.694,0.146,9.7M,71.90%
Belgium,Europe,12/1/2004,1.10%,0.172,0.656,0.173,10.4M,97.30%
Bosnia and Herzegovina,Europe,12/1/2004,0.80%,0.192,0.682,0.127,3.9M,39.20%
Bulgaria,Europe,12/1/2004,0.90%,0.14,0.688,0.173,7.8M,70.20%
Croatia,Europe,12/1/2004,0.90%,0.162,0.67,0.169,4.4M,56.20%
Cyprus,Europe,12/1/2004,1.20%,0.205,0.69,0.106,1.0M,68.40%
Czech Republic,Europe,12/1/2004,1.00%,0.151,0.709,0.14,10.2M,73.70%
Denmark,Europe,12/1/2004,1.20%,0.188,0.662,0.15,5.4M,85.60%
Estonia,Europe,12/1/2004,1.00%,0.156,0.678,0.166,1.4M,68.90%
Faeroe Islands,Europe,12/1/2004,0,0,0,0,0.0M,39.20%
Finland,Europe,12/1/2004,1.10%,0.175,0.667,0.157,5.2M,82.80%
France,Europe,12/1/2004,1.30%,0.186,0.651,0.164,62.7M,76.90%
Germany,Europe,12/1/2004,0.90%,0.146,0.67,0.184,82.5M,73.30%
Greece,Europe,12/1/2004,1.00%,0.145,0.672,0.183,11.1M,74.10%
Hungary,Europe,12/1/2004,0.90%,0.158,0.687,0.156,10.1M,65.90%
Iceland,Europe,12/1/2004,1.50%,0.223,0.66,0.117,0.3M,92.90%
Ireland,Europe,12/1/2004,1.50%,0.206,0.683,0.111,4.1M,60.20%
Isle of Man,Europe,12/1/2004,0,0,0,0,0.1M,51.90%
Italy,Europe,12/1/2004,1.00%,0.141,0.665,0.194,57.7M,67.60%
Kosovo,Europe,12/1/2004,2.00%,0,0,0,1.7M,0.00%
Latvia,Europe,12/1/2004,0.90%,0.152,0.68,0.168,2.3M,67.90%
Liechtenstein,Europe,12/1/2004,1.10%,0,0,0,0.0M,14.80%
Lithuania,Europe,12/1/2004,0.90%,0.173,0.677,0.15,3.4M,66.60%
Luxembourg,Europe,12/1/2004,1.20%,0.188,0.668,0.144,0.5M,86.20%
North Macedonia,Europe,12/1/2004,1.20%,0.203,0.687,0.11,2.1M,57.70%
Malta,Europe,12/1/2004,1.00%,0.178,0.693,0.129,0.4M,93.40%
Moldova,Europe,12/1/2004,1.20%,0.198,0.691,0.111,3.6M,45.40%
Monaco,Europe,12/1/2004,0,0,0,0,0.0M,100.00%
Montenegro,Europe,12/1/2004,1.30%,0.203,0.669,0.128,0.6M,62.00%
Netherlands,Europe,12/1/2004,1.20%,0.185,0.676,0.139,16.3M,81.50%
Norway,Europe,12/1/2004,1.20%,0.198,0.655,0.148,4.6M,77.30%
Poland,Europe,12/1/2004,0.90%,0.169,0.7,0.131,38.2M,61.60%
Portugal,Europe,12/1/2004,1.00%,0.157,0.674,0.17,10.5M,56.90%
Romania,Europe,12/1/2004,1.00%,0.16,0.694,0.146,21.5M,53.00%
Russia,Europe,12/1/2004,1.00%,0.156,0.707,0.136,143.8M,73.40%
San Marino,Europe,12/1/2004,1.00%,0,0,0,0.0M,94.00%
