Country/Region,Region,Year,Health Exp % GDP,Health Exp/Capita,Infant Mortality Rate,Life Expectancy Female,Life Expectancy Male
Chile,The Americas,12/1/2003,7.10%,$338 ,0.008,81,75
Colombia,The Americas,12/1/2003,5.90%,$134 ,0.02,76,68
Costa Rica,The Americas,12/1/2003,8.10%,$343 ,0.009,81,76
Cuba,The Americas,12/1/2003,6.30%,$202 ,0.006,79,75
Curacao,The Americas,12/1/2003,0,0,0,0,0
Dominica,The Americas,12/1/2003,4.90%,$240 ,0.013,0,0
Dominican Republic,The Americas,12/1/2003,6.50%,$143 ,0.031,74,68
Ecuador,The Americas,12/1/2003,6.70%,$164 ,0.026,77,71
El Salvador,The Americas,12/1/2003,7.30%,$182 ,0.023,75,66
Greenland,The Americas,12/1/2003,0,0,0,71,66
Grenada,The Americas,12/1/2003,6.20%,$359 ,0.013,73,69
Guatemala,The Americas,12/1/2003,6.40%,$116 ,0.036,73,66
Guyana,The Americas,12/1/2003,5.60%,$55 ,0.037,68,61
Haiti,The Americas,12/1/2003,5.30%,$17 ,0.069,60,57
Honduras,The Americas,12/1/2003,8.30%,$103 ,0.028,74,69
Jamaica,The Americas,12/1/2003,4.60%,$162 ,0.019,74,68
Mexico,The Americas,12/1/2003,5.80%,$397 ,0.018,78,73
Nicaragua,The Americas,12/1/2003,6.10%,$61 ,0.029,74,68
Panama,The Americas,12/1/2003,7.60%,$303 ,0.02,78,73
Paraguay,The Americas,12/1/2003,6.10%,$71 ,0.025,73,69
Peru,The Americas,12/1/2003,4.50%,$102 ,0.025,74,69
Puerto Rico,The Americas,12/1/2003,0,0,0,82,74
Sint Maarten (Dutch part),The Americas,12/1/2003,0,0,0,0,0
St. Kitts and Nevis,The Americas,12/1/2003,3.70%,$359 ,0.012,0,0
St. Lucia,The Americas,12/1/2003,6.20%,$299 ,0.015,74,70
St. Martin (French part),The Americas,12/1/2003,0,0,0,81,74
St. Vincent and the Grenadines,The Americas,12/1/2003,3.90%,$174 ,0.019,73,69
Suriname,The Americas,12/1/2003,6.60%,$173 ,0.028,72,65
Trinidad and Tobago,The Americas,12/1/2003,5.10%,$449 ,0.025,73,65
Turks and Caicos Islands,The Americas,12/1/2003,0,0,0,0,0
United States,The Americas,12/1/2003,15.60%,"$5,993 ",0.007,80,75
Uruguay,The Americas,12/1/2003,9.70%,$351 ,0.013,79,72
Venezuela,The Americas,12/1/2003,5.90%,$190 ,0.017,76,70
Algeria,Africa,12/1/2004,3.50%,$90 ,0.03,71,68
Angola,Africa,12/1/2004,5.10%,$63 ,0.123,49,47
Benin,Africa,12/1/2004,4.60%,$23 ,0.078,58,55
Botswana,Africa,12/1/2004,4.90%,$268 ,0.046,48,47
Burkina Faso,Africa,12/1/2004,6.10%,$24 ,0.089,53,51
Burundi,Africa,12/1/2004,9.70%,$9 ,0.079,51,48
Cameroon,Africa,12/1/2004,4.60%,$41 ,0.081,53,51
Central African Republic,Africa,12/1/2004,4.10%,$14 ,0.111,46,43
Chad,Africa,12/1/2004,5.10%,$23 ,0.102,48,47
Comoros,Africa,12/1/2004,4.00%,$25 ,0.071,60,57
Congo (Kinshasa),Africa,12/1/2004,5.40%,$7 ,0.108,49,46
Congo (Brazzaville),Africa,12/1/2004,2.60%,$34 ,0.066,55,52
Cote d'Ivoire,Africa,12/1/2004,5.60%,$50 ,0.091,48,46
Djibouti,Africa,12/1/2004,6.80%,$57 ,0.073,59,56
Egypt,Africa,12/1/2004,5.30%,$57 ,0.027,72,67
Equatorial Guinea,Africa,12/1/2004,2.10%,$191 ,0.089,50,47
Eritrea,Africa,12/1/2004,2.90%,$7 ,0.049,60,56
Ethiopia,Africa,12/1/2004,4.30%,$6 ,0.074,56,55
Gabon,Africa,12/1/2004,3.40%,$180 ,0.052,61,59
"Gambia, The",Africa,12/1/2004,4.40%,$18 ,0.058,58,55
Ghana,Africa,12/1/2004,6.10%,$26 ,0.059,59,57
Guinea,Africa,12/1/2004,5.30%,$20 ,0.088,52,52
Guinea-Bissau,Africa,12/1/2004,5.30%,$20 ,0.099,53,51
Kenya,Africa,12/1/2004,4.30%,$20 ,0.063,55,53
Lesotho,Africa,12/1/2004,7.00%,$45 ,0.084,44,43
Liberia,Africa,12/1/2004,8.80%,$13 ,0.09,55,53
Libya,Africa,12/1/2004,3.50%,$205 ,0.021,75,72
Madagascar,Africa,12/1/2004,4.90%,$12 ,0.058,62,59
Malawi,Africa,12/1/2004,7.80%,$16 ,0.078,48,48
Mali,Africa,12/1/2004,6.30%,$27 ,0.101,51,51
Mauritania,Africa,12/1/2004,5.90%,$28 ,0.075,62,59
Mauritius,Africa,12/1/2004,4.20%,$227 ,0.014,76,69
Morocco,Africa,12/1/2004,5.20%,$99 ,0.037,71,67
Mozambique,Africa,12/1/2004,5.90%,$16 ,0.095,49,46
Namibia,Africa,12/1/2004,6.50%,$213 ,0.048,57,53
Niger,Africa,12/1/2004,7.10%,$16 ,0.086,53,53
Nigeria,Africa,12/1/2004,7.00%,$45 ,0.1,49,48
Rwanda,Africa,12/1/2004,5.80%,$13 ,0.075,55,52
Sao Tome and Principe,Africa,12/1/2004,11.00%,$79 ,0.05,66,62
Senegal,Africa,12/1/2004,5.70%,$42 ,0.059,62,58
Seychelles,Africa,12/1/2004,4.30%,$421 ,0.012,76,69
Sierra Leone,Africa,12/1/2004,15.40%,$45 ,0.13,42,41
Somalia,Africa,12/1/2004,0,0,0.105,54,51
South Africa,Africa,12/1/2004,8.90%,$410 ,0.052,53,51
South Sudan,Africa,12/1/2004,0,0,0.091,52,50
Sudan,Africa,12/1/2004,4.10%,$29 ,0.063,61,58
Swaziland,Africa,12/1/2004,5.90%,$130 ,0.082,46,46
Tanzania,Africa,12/1/2004,3.40%,$12 ,0.061,53,52
Togo,Africa,12/1/2004,5.90%,$21 ,0.07,55,53
Tunisia,Africa,12/1/2004,5.60%,$179 ,0.021,75,71
Uganda,Africa,12/1/2004,7.90%,$24 ,0.073,52,52
Zambia,Africa,12/1/2004,6.70%,$33 ,0.081,46,45
Zimbabwe,Africa,12/1/2004,0,0,0.058,43,44
Afghanistan,Asia,12/1/2004,9.80%,$19 ,0.086,58,55
Armenia,Asia,12/1/2004,5.50%,$65 ,0.022,76,70
Azerbaijan,Asia,12/1/2004,7.90%,$81 ,0.047,71,66
Bangladesh,Asia,12/1/2004,3.10%,$12 ,0.053,68,67
Bhutan,Asia,12/1/2004,4.40%,$49 ,0.048,63,63
Brunei,Asia,12/1/2004,3.00%,$658 ,0.008,79,75
Cambodia,Asia,12/1/2004,7.10%,$29 ,0.057,69,63
China,Asia,12/1/2004,4.70%,$70 ,0.022,75,73
Georgia,Asia,12/1/2004,8.50%,$97 ,0.024,76,69
Hong Kong SAR,Asia,12/1/2004,0,0,0,85,79
India,Asia,12/1/2004,4.50%,$29 ,0.058,65,62
Indonesia,Asia,12/1/2004,2.40%,$27 ,0.035,71,67
Japan,Asia,12/1/2004,8.00%,"$2,914 ",0.003,86,79
Kazakhstan,Asia,12/1/2004,4.00%,$114 ,0.03,72,60
North Korea,Asia,12/1/2004,0,0,0.028,72,64
South Korea,Asia,12/1/2004,5.20%,$784 ,0.005,81,75
Kyrgyzstan,Asia,12/1/2004,5.60%,$25 ,0.036,72,64
Laos,Asia,12/1/2004,4.60%,$19 ,0.073,65,63
Macao SAR,Asia,12/1/2004,0,0,0,81,76
Malaysia,Asia,12/1/2004,3.70%,$181 ,0.007,76,71
Maldives,Asia,12/1/2004,5.90%,$217 ,0.022,75,72
Mongolia,Asia,12/1/2004,7.00%,$56 ,0.039,69,61
Myanmar,Asia,12/1/2004,2.30%,$5 ,0.052,65,61
Nepal,Asia,12/1/2004,5.80%,$17 ,0.049,65,63
Pakistan,Asia,12/1/2004,2.80%,$18 ,0.082,66,64
Philippines,Asia,12/1/2004,3.20%,$35 ,0.028,71,64
Singapore,Asia,12/1/2004,3.20%,$826 ,0.002,82,77
Sri Lanka,Asia,12/1/2004,4.20%,$44 ,0.012,77,70
Tajikistan,Asia,12/1/2004,4.30%,$13 ,0.058,69,62
Thailand,Asia,12/1/2004,3.50%,$87 ,0.016,76,69
Timor-Leste,Asia,12/1/2004,8.60%,$27 ,0.069,64,61
Turkmenistan,Asia,12/1/2004,3.70%,$111 ,0.06,68,60
Uzbekistan,Asia,12/1/2004,5.10%,$24 ,0.048,71,64
Vietnam,Asia,12/1/2004,5.50%,$30 ,0.024,79,70
Albania,Europe,12/1/2004,6.50%,$148 ,0.019,79,73
Andorra,Europe,12/1/2004,5.70%,"$2,193 ",0.003,0,0
Austria,Europe,12/1/2004,10.40%,"$3,720 ",0.004,82,76
Belarus,Europe,12/1/2004,6.60%,$157 ,0.008,75,63
Belgium,Europe,12/1/2004,10.00%,"$3,482 ",0.004,82,76
Bosnia and Herzegovina,Europe,12/1/2004,9.00%,$236 ,0.007,78,73
Bulgaria,Europe,12/1/2004,7.30%,$238 ,0.015,76,69
Croatia,Europe,12/1/2004,6.60%,$614 ,0.006,79,72
Cyprus,Europe,12/1/2004,6.40%,"$1,353 ",0.004,81,76
Czech Republic,Europe,12/1/2004,6.90%,$771 ,0.005,79,73
Denmark,Europe,12/1/2004,9.70%,"$4,387 ",0.004,80,75
Estonia,Europe,12/1/2004,5.10%,$450 ,0.006,78,66
Faeroe Islands,Europe,12/1/2004,0,0,0,82,77
Finland,Europe,12/1/2004,8.20%,"$2,974 ",0.003,82,75
France,Europe,12/1/2004,11.00%,"$3,620 ",0.004,84,77
Germany,Europe,12/1/2004,10.70%,"$3,524 ",0.004,82,76
Greece,Europe,12/1/2004,8.70%,"$1,809 ",0.005,82,77
Hungary,Europe,12/1/2004,8.20%,$828 ,0.008,77,69
Iceland,Europe,12/1/2004,10.00%,"$4,567 ",0.003,83,79
Ireland,Europe,12/1/2004,7.50%,"$3,487 ",0.005,81,76
Isle of Man,Europe,12/1/2004,0,0,0,0,0
Italy,Europe,12/1/2004,8.50%,"$2,549 ",0.004,84,78
Kosovo,Europe,12/1/2004,0,0,0,71,66
Latvia,Europe,12/1/2004,6.50%,$387 ,0.012,77,67
Liechtenstein,Europe,12/1/2004,0,0,0,85,79
Lithuania,Europe,12/1/2004,5.70%,$374 ,0.008,78,66
Luxembourg,Europe,12/1/2004,8.20%,"$6,145 ",0.003,82,76
North Macedonia,Europe,12/1/2004,8.70%,$230 ,0.012,77,72
Malta,Europe,12/1/2004,8.60%,"$1,247 ",0.006,81,77
Moldova,Europe,12/1/2004,8.50%,$61 ,0.02,72,64
Monaco,Europe,12/1/2004,4.00%,"$4,885 ",0.004,0,0
Montenegro,Europe,12/1/2004,8.70%,$293 ,0.01,76,71
Netherlands,Europe,12/1/2004,10.00%,"$3,739 ",0.005,81,77
Norway,Europe,12/1/2004,10.10%,"$5,733 ",0.003,82,78
Poland,Europe,12/1/2004,6.20%,$410 ,0.007,79,71
Portugal,Europe,12/1/2004,10.00%,"$1,779 ",0.004,81,75
Romania,Europe,12/1/2004,5.40%,$190 ,0.02,75,68
Russia,Europe,12/1/2004,5.20%,$212 ,0.015,72,59
San Marino,Europe,12/1/2004,5.30%,"$3,359 ",0.004,85,79
Serbia,Europe,12/1/2004,8.70%,$204 ,0.008,75,70
Slovakia,Europe,12/1/2004,7.20%,$565 ,0.009,78,70
Slovenia,Europe,12/1/2004,8.30%,"$1,415 ",0.004,81,74
Spain,Europe,12/1/2004,8.20%,"$2,028 ",0.005,83,77
Sweden,Europe,12/1/2004,9.10%,"$3,666 ",0.003,83,78
Switzerland,Europe,12/1/2004,11.00%,"$5,570 ",0.004,84,79
Turkey,Europe,12/1/2004,5.40%,$297 ,0.027,76,69
Ukraine,Europe,12/1/2004,6.60%,$90 ,0.013,74,63
United Kingdom,Europe,12/1/2004,8.00%,"$2,955 ",0.005,81,77
Bahrain,Middle East,12/1/2004,3.90%,$539 ,0.01,76,75
Iran,Middle East,12/1/2004,4.70%,$117 ,0.023,73,70
Iraq,Middle East,12/1/2004,5.60%,$55 ,0.034,72,67
Israel,Middle East,12/1/2004,7.60%,"$1,410 ",0.005,82,78
Jordan,Middle East,12/1/2004,9.10%,$203 ,0.021,74,71
Kuwait,Middle East,12/1/2004,2.70%,$743 ,0.01,75,73
Lebanon,Middle East,12/1/2004,8.20%,$458 ,0.013,78,75
Oman,Middle East,12/1/2004,3.00%,$310 ,0.011,76,72
Qatar,Middle East,12/1/2004,3.60%,"$1,589 ",0.009,78,76
Saudi Arabia,Middle East,12/1/2004,3.70%,$399 ,0.017,76,72
Syria,Middle East,12/1/2004,4.50%,$61 ,0.017,76,73
United Arab Emirates,Middle East,12/1/2004,2.50%,$995 ,0.009,76,74
Yemen,Middle East,12/1/2004,4.90%,$38 ,0.059,63,60
American Samoa,Oceania,12/1/2004,0,0,0,0,0
Australia,Oceania,12/1/2004,8.60%,"$2,872 ",0.005,83,78
Fiji,Oceania,12/1/2004,3.60%,$120 ,0.02,71,66
French Polynesia,Oceania,12/1/2004,0,0,0,77,71
Guam,Oceania,12/1/2004,0,0,0,79,74
Kiribati,Oceania,12/1/2004,10.40%,$119 ,0.05,69,63
Marshall Islands,Oceania,12/1/2004,17.60%,$449 ,0.033,0,0
"Micronesia, Fed. Sts.",Oceania,12/1/2004,10.40%,$233 ,0.038,68,67
New Caledonia,Oceania,12/1/2004,0,0,0,79,72
New Zealand,Oceania,12/1/2004,8.00%,"$1,974 ",0.006,82,78
Papua New Guinea,Oceania,12/1/2004,4.60%,$30 ,0.056,62,58
Samoa,Oceania,12/1/2004,4.90%,$106 ,0.017,74,68
Solomon Islands,Oceania,12/1/2004,5.60%,$46 ,0.029,67,64
Tonga,Oceania,12/1/2004,4.80%,$115 ,0.014,74,69
Vanuatu,Oceania,12/1/2004,3.50%,$62 ,0.018,71,67
Antigua and Barbuda,The Americas,12/1/2004,4.10%,$453 ,0.011,77,72
Argentina,The Americas,12/1/2004,8.20%,$327 ,0.016,78,71
Aruba,The Americas,12/1/2004,0,0,0,77,72
"Bahamas, The",The Americas,12/1/2004,6.00%,"$1,326 ",0.013,77,70
Barbados,The Americas,12/1/2004,7.10%,$737 ,0.015,76,71
Belize,The Americas,12/1/2004,4.40%,$175 ,0.019,75,69
Bermuda,The Americas,12/1/2004,0,0,0,81,76
Bolivia,The Americas,12/1/2004,5.30%,$51 ,0.046,67,62
Brazil,The Americas,12/1/2004,7.10%,$257 ,0.022,75,68
Mauritius,Africa,12/1/2005,4.50%,$239 ,0.014,76,69
Tunisia,Africa,12/1/2005,5.60%,$181 ,0.02,76,72
Seychelles,Africa,12/1/2005,4.00%,$423 ,0.012,77,67
Morocco,Africa,12/1/2005,5.10%,$100 ,0.035,71,67
Algeria,Africa,12/1/2005,3.10%,$95 ,0.029,71,68
South Africa,Africa,12/1/2005,8.80%,$450 ,0.051,53,50
Libya,Africa,12/1/2005,2.60%,$213 ,0.02,75,72
Egypt,Africa,12/1/2005,5.10%,$64 ,0.026,72,67
Botswana,Africa,12/1/2005,5.60%,$298 ,0.043,47,46
Lesotho,Africa,12/1/2005,6.30%,$45 ,0.085,44,44
Namibia,Africa,12/1/2005,7.30%,$262 ,0.046,58,54
Djibouti,Africa,12/1/2005,7.20%,$63 ,0.071,59,57
Zimbabwe,Africa,12/1/2005,0,0,0.057,43,44
Swaziland,Africa,12/1/2005,6.80%,$159 ,0.081,46,46
Gabon,Africa,12/1/2005,3.00%,$187 ,0.05,61,59
Ghana,Africa,12/1/2005,7.00%,$35 ,0.058,60,58
Central African Republic,Africa,12/1/2005,4.40%,$15 ,0.111,47,43
Cote d'Ivoire,Africa,12/1/2005,5.70%,$53 ,0.089,48,46
Mauritania,Africa,12/1/2005,5.00%,$29 ,0.075,62,59
Equatorial Guinea,Africa,12/1/2005,1.60%,$220 ,0.087,50,48
Togo,Africa,12/1/2005,6.60%,$25 ,0.068,55,53
Rwanda,Africa,12/1/2005,6.10%,$17 ,0.067,56,54
Sudan,Africa,12/1/2005,4.10%,$35 ,0.061,62,58
Madagascar,Africa,12/1/2005,4.90%,$13 ,0.055,63,60
Sao Tome and Principe,Africa,12/1/2005,10.00%,$81 ,0.048,66,63
Congo (Brazzaville),Africa,12/1/2005,2.40%,$42 ,0.062,55,53
Kenya,Africa,12/1/2005,4.40%,$23 ,0.061,56,54
Ethiopia,Africa,12/1/2005,4.10%,$7 ,0.07,58,56
Comoros,Africa,12/1/2005,4.30%,$28 ,0.07,60,58
Senegal,Africa,12/1/2005,5.40%,$41 ,0.057,62,59
South Sudan,Africa,12/1/2005,0,0,0.087,52,50
Cameroon,Africa,12/1/2005,4.90%,$45 ,0.078,53,51
Guinea-Bissau,Africa,12/1/2005,5.70%,$24 ,0.096,53,51
Guinea,Africa,12/1/2005,5.30%,$16 ,0.085,53,52
Liberia,Africa,12/1/2005,8.00%,$13 ,0.083,56,54
Benin,Africa,12/1/2005,4.70%,$25 ,0.075,59,56
Eritrea,Africa,12/1/2005,2.80%,$6 ,0.047,61,56
Sierra Leone,Africa,12/1/2005,15.90%,$51 ,0.128,42,42
Nigeria,Africa,12/1/2005,6.60%,$53 ,0.097,49,48
Malawi,Africa,12/1/2005,8.20%,$17 ,0.073,49,49
Tanzania,Africa,12/1/2005,4.00%,$15 ,0.057,54,53
Zambia,Africa,12/1/2005,7.10%,$44 ,0.076,48,47
Mozambique,Africa,12/1/2005,6.90%,$22 ,0.091,49,47
Burundi,Africa,12/1/2005,10.10%,$14 ,0.075,51,49
"Gambia, The",Africa,12/1/2005,4.50%,$20 ,0.057,58,56
Burkina Faso,Africa,12/1/2005,6.90%,$28 ,0.086,53,52
Congo (Kinshasa),Africa,12/1/2005,5.30%,$7 ,0.105,49,46
Somalia,Africa,12/1/2005,0,0,0.105,54,51
Uganda,Africa,12/1/2005,9.20%,$29 ,0.068,53,52
Mali,Africa,12/1/2005,6.30%,$29 ,0.097,51,52
Angola,Africa,12/1/2005,4.20%,$71 ,0.122,50,47
Chad,Africa,12/1/2005,4.70%,$25 ,0.101,48,47
Niger,Africa,12/1/2005,7.70%,$20 ,0.082,54,54
Mauritius,Africa,12/1/2006,4.80%,$269 ,0.014,76,69
Seychelles,Africa,12/1/2006,3.80%,$438 ,0.012,76,69
Tunisia,Africa,12/1/2006,5.60%,$194 ,0.019,76,72
Morocco,Africa,12/1/2006,5.20%,$113 ,0.034,71,68
Algeria,Africa,12/1/2006,3.10%,$106 ,0.028,72,68
South Africa,Africa,12/1/2006,8.50%,$455 ,0.05,53,50
Libya,Africa,12/1/2006,2.50%,$237 ,0.019,76,72
Egypt,Africa,12/1/2006,5.20%,$75 ,0.024,72,67
Botswana,Africa,12/1/2006,4.90%,$263 ,0.043,47,46
Lesotho,Africa,12/1/2006,7.10%,$52 ,0.084,44,44
Namibia,Africa,12/1/2006,7.20%,$280 ,0.044,60,55
Djibouti,Africa,12/1/2006,7.10%,$66 ,0.069,60,57
Swaziland,Africa,12/1/2006,6.80%,$180 ,0.076,46,46
Zimbabwe,Africa,12/1/2006,0,0,0.057,44,46
Gabon,Africa,12/1/2006,3.20%,$216 ,0.049,61,59
Ghana,Africa,12/1/2006,5.40%,$48 ,0.057,60,58
Cote d'Ivoire,Africa,12/1/2006,6.00%,$59 ,0.087,49,47
Central African Republic,Africa,12/1/2006,4.00%,$15 ,0.109,47,44
Sudan,Africa,12/1/2006,5.00%,$54 ,0.06,62,59
Mauritania,Africa,12/1/2006,3.50%,$30 ,0.074,62,59
Madagascar,Africa,12/1/2006,5.00%,$15 ,0.052,63,60
Equatorial Guinea,Africa,12/1/2006,2.30%,$287 ,0.085,51,48
Togo,Africa,12/1/2006,6.40%,$25 ,0.067,55,54
Kenya,Africa,12/1/2006,4.50%,$28 ,0.059,57,55
Rwanda,Africa,12/1/2006,10.00%,$32 ,0.061,58,56
Ethiopia,Africa,12/1/2006,4.20%,$8 ,0.065,59,57
Sao Tome and Principe,Africa,12/1/2006,7.80%,$68 ,0.046,67,63
South Sudan,Africa,12/1/2006,0,0,0.083,53,50
Congo (Brazzaville),Africa,12/1/2006,2.40%,$50 ,0.057,56,53
Comoros,Africa,12/1/2006,4.60%,$30 ,0.069,61,58
Senegal,Africa,12/1/2006,5.40%,$44 ,0.055,63,60
Cameroon,Africa,12/1/2006,4.80%,$46 ,0.076,53,51
Guinea-Bissau,Africa,12/1/2006,5.90%,$24 ,0.094,54,52
Guinea,Africa,12/1/2006,5.50%,$16 ,0.082,54,53
Liberia,Africa,12/1/2006,10.90%,$18 ,0.077,57,55
Benin,Africa,12/1/2006,4.80%,$26 ,0.072,59,56
Eritrea,Africa,12/1/2006,3.20%,$8 ,0.046,61,57
Sierra Leone,Africa,12/1/2006,14.20%,$51 ,0.125,43,43
Nigeria,Africa,12/1/2006,5.70%,$59 ,0.094,50,49
Malawi,Africa,12/1/2006,9.00%,$21 ,0.068,50,50
Tanzania,Africa,12/1/2006,6.50%,$23 ,0.054,56,54
Mozambique,Africa,12/1/2006,6.50%,$21 ,0.087,49,47
Zambia,Africa,12/1/2006,6.40%,$58 ,0.073,49,48
Burundi,Africa,12/1/2006,11.60%,$18 ,0.072,52,49
Burkina Faso,Africa,12/1/2006,7.40%,$28 ,0.083,54,52
"Gambia, The",Africa,12/1/2006,4.70%,$21 ,0.056,58,56
Congo (Kinshasa),Africa,12/1/2006,5.50%,$9 ,0.102,50,46
Uganda,Africa,12/1/2006,9.60%,$32 ,0.064,54,53
Somalia,Africa,12/1/2006,0,0,0.105,54,51
Mali,Africa,12/1/2006,6.60%,$33 ,0.093,52,52
Chad,Africa,12/1/2006,4.00%,$24 ,0.1,49,47
Angola,Africa,12/1/2006,4.50%,$111 ,0.12,50,48
Niger,Africa,12/1/2006,7.90%,$21 ,0.079,55,55
Mauritius,Africa,12/1/2007,5.00%,$316 ,0.014,76,69
Tunisia,Africa,12/1/2007,5.60%,$217 ,0.018,76,72
Seychelles,Africa,12/1/2007,3.40%,$393 ,0.012,78,69
Morocco,Africa,12/1/2007,5.50%,$134 ,0.033,71,68
South Africa,Africa,12/1/2007,7.80%,$449 ,0.047,53,51
Algeria,Africa,12/1/2007,3.50%,$135 ,0.026,72,69
Libya,Africa,12/1/2007,2.50%,$276 ,0.017,76,72
Egypt,Africa,12/1/2007,4.90%,$85 ,0.023,72,68
Botswana,Africa,12/1/2007,4.70%,$269 ,0.043,46,46
Lesotho,Africa,12/1/2007,8.50%,$69 ,0.082,45,45
Namibia,Africa,12/1/2007,6.90%,$294 ,0.042,62,56
Djibouti,Africa,12/1/2007,7.70%,$78 ,0.067,60,57
Swaziland,Africa,12/1/2007,7.00%,$190 ,0.075,47,47
Zimbabwe,Africa,12/1/2007,0,0,0.058,46,47
Ghana,Africa,12/1/2007,6.00%,$66 ,0.057,61,59
Gabon,Africa,12/1/2007,3.30%,$262 ,0.048,62,60
Central African Republic,Africa,12/1/2007,4.30%,$18 ,0.108,48,45
Cote d'Ivoire,Africa,12/1/2007,6.60%,$72 ,0.084,49,47
Sudan,Africa,12/1/2007,6.20%,$85 ,0.059,62,59
Mauritania,Africa,12/1/2007,4.40%,$37 ,0.073,62,59
Ethiopia,Africa,12/1/2007,4.80%,$11 ,0.061,60,58
Madagascar,Africa,12/1/2007,5.00%,$19 ,0.049,63,61
Equatorial Guinea,Africa,12/1/2007,2.40%,$380 ,0.082,51,49
Togo,Africa,12/1/2007,6.50%,$28 ,0.065,55,54
Kenya,Africa,12/1/2007,4.40%,$32 ,0.058,58,55
Rwanda,Africa,12/1/2007,10.00%,$38 ,0.055,60,57
Sao Tome and Principe,Africa,12/1/2007,7.10%,$66 ,0.044,67,63
South Sudan,Africa,12/1/2007,0,0,0.079,53,51
Guinea,Africa,12/1/2007,6.30%,$26 ,0.079,55,53
Congo (Brazzaville),Africa,12/1/2007,2.50%,$57 ,0.053,57,54
Liberia,Africa,12/1/2007,10.20%,$21 ,0.072,58,56
Benin,Africa,12/1/2007,4.50%,$29 ,0.069,59,57
Comoros,Africa,12/1/2007,4.90%,$36 ,0.068,61,58
Senegal,Africa,12/1/2007,4.70%,$45 ,0.052,63,60
Sierra Leone,Africa,12/1/2007,14.00%,$56 ,0.122,44,43
Cameroon,Africa,12/1/2007,4.70%,$50 ,0.073,53,52
Guinea-Bissau,Africa,12/1/2007,6.10%,$29 ,0.091,54,52
Eritrea,Africa,12/1/2007,3.30%,$8 ,0.044,62,57
Nigeria,Africa,12/1/2007,7.20%,$81 ,0.091,50,49
Malawi,Africa,12/1/2007,6.70%,$18 ,0.064,51,51
Tanzania,Africa,12/1/2007,5.70%,$23 ,0.05,57,55
Mozambique,Africa,12/1/2007,6.00%,$22 ,0.082,49,47
Zambia,Africa,12/1/2007,6.00%,$57 ,0.07,51,49
Burundi,Africa,12/1/2007,10.00%,$16 ,0.069,53,50
Burkina Faso,Africa,12/1/2007,7.70%,$32 ,0.079,54,53
"Gambia, The",Africa,12/1/2007,4.10%,$21 ,0.055,59,56
Congo (Kinshasa),Africa,12/1/2007,5.90%,$10 ,0.1,50,47
Somalia,Africa,12/1/2007,0,0,0.104,55,51
Uganda,Africa,12/1/2007,9.40%,$37 ,0.061,55,54
Angola,Africa,12/1/2007,3.40%,$115 ,0.117,51,48
Mali,Africa,12/1/2007,7.00%,$39 ,0.09,52,53
Chad,Africa,12/1/2007,4.20%,$27 ,0.099,49,48
Niger,Africa,12/1/2007,7.40%,$22 ,0.075,55,55
Mauritius,Africa,12/1/2008,4.60%,$362 ,0.014,76,69
Seychelles,Africa,12/1/2008,2.70%,$289 ,0.012,79,68
Tunisia,Africa,12/1/2008,5.60%,$246 ,0.017,76,72
Morocco,Africa,12/1/2008,5.40%,$156 ,0.031,71,68
South Africa,Africa,12/1/2008,8.00%,$437 ,0.046,54,51
Libya,Africa,12/1/2008,2.20%,$318 ,0.016,76,73
Egypt,Africa,12/1/2008,4.80%,$101 ,0.021,72,68
Algeria,Africa,12/1/2008,3.80%,$183 ,0.025,72,69
Botswana,Africa,12/1/2008,5.30%,$307 ,0.043,46,46
Lesotho,Africa,12/1/2008,8.90%,$73 ,0.082,46,46
Namibia,Africa,12/1/2008,6.90%,$287 ,0.041,63,57
Djibouti,Africa,12/1/2008,8.00%,$92 ,0.066,61,58
Swaziland,Africa,12/1/2008,8.20%,$214 ,0.074,47,48
Zimbabwe,Africa,12/1/2008,0,0,0.058,49,49
Ghana,Africa,12/1/2008,5.60%,$69 ,0.056,61,59
Gabon,Africa,12/1/2008,2.70%,$283 ,0.046,62,60
Central African Republic,Africa,12/1/2008,4.30%,$20 ,0.107,48,45
Cote d'Ivoire,Africa,12/1/2008,6.50%,$83 ,0.082,50,48
Ethiopia,Africa,12/1/2008,4.30%,$14 ,0.057,61,59
Mauritania,Africa,12/1/2008,4.30%,$46 ,0.072,62,59
Sudan,Africa,12/1/2008,7.50%,$118 ,0.058,63,59
Madagascar,Africa,12/1/2008,4.30%,$20 ,0.047,64,61
Equatorial Guinea,Africa,12/1/2008,3.40%,$792 ,0.08,52,49
Sao Tome and Principe,Africa,12/1/2008,6.30%,$75 ,0.043,67,64
South Sudan,Africa,12/1/2008,2.00%,$34 ,0.076,53,51
Togo,Africa,12/1/2008,6.50%,$34 ,0.064,56,54
Kenya,Africa,12/1/2008,4.20%,$33 ,0.056,59,56
Liberia,Africa,12/1/2008,11.80%,$27 ,0.067,59,57
Comoros,Africa,12/1/2008,5.20%,$42 ,0.066,61,58
Rwanda,Africa,12/1/2008,10.10%,$47 ,0.05,61,59
Cameroon,Africa,12/1/2008,5.00%,$60 ,0.071,54,52
Guinea-Bissau,Africa,12/1/2008,6.00%,$34 ,0.089,55,52
Guinea,Africa,12/1/2008,6.00%,$26 ,0.077,55,54
Congo (Brazzaville),Africa,12/1/2008,2.10%,$64 ,0.049,57,55
Benin,Africa,12/1/2008,4.20%,$31 ,0.066,60,57
